"Município";"Leitos Repouso/Observação Ped";"Leitos Repouso/Observação Femin";"Leitos Repouso/Observação Masc";"Leitos Repouso/Observação Indif"
"510558 Marcelândia";-;-;-;2
"510560 Matupá";4;5;5;1
"510562 Mirassol d'Oeste";-;-;-;4
"510590 Nobres";-;-;-;6
"510600 Nortelândia";-;-;-;17
"510610 Nossa Senhora do Livramento";-;-;-;1
"510615 Nova Bandeirantes";-;-;-;1
"510620 Nova Brasilândia";2;4;4;-
"510880 Nova Guarita";-;5;4;-
"510618 Nova Lacerda";-;-;-;13
"510885 Nova Marilândia";-;3;3;7
"510890 Nova Maringá";4;4;4;13
"510622 Nova Mutum";4;9;10;2
"510623 Nova Olímpia";6;7;6;12
"510619 Nova Santa Helena";-;-;-;2
"510624 Nova Ubiratã";-;-;-;10
"510625 Nova Xavantina";-;-;-;3
"510626 Novo Mundo";-;1;1;11
"510628 Novo São Joaquim";-;-;-;3
"510630 Paranatinga";13;6;5;5
"510637 Pedra Preta";-;3;3;2
"510642 Peixoto de Azevedo";-;3;2;6
"510645 Planalto da Serra";1;3;2;-
"510650 Poconé";-;-;-;1
"510665 Pontal do Araguaia";1;1;1;3
"510675 Pontes e Lacerda";2;4;4;1
"510677 Porto Alegre do Norte";-;-;-;6
"510680 Porto dos Gaúchos";-;-;-;1
"510685 Porto Estrela";-;1;1;-
"510700 Poxoréo";-;-;-;6
"510704 Primavera do Leste";5;5;3;8
"510706 Querência";-;-;-;5
"510718 Ribeirão Cascalheira";-;1;1;-
"510719 Ribeirãozinho";-;5;4;-
"510720 Rio Branco";-;-;-;3
"510760 Rondonópolis";12;12;11;36
"510770 Rosário Oeste";-;-;-;19
"510776 Santa Rita do Trivelato";-;2;2;1
"510777 Santa Terezinha";-;-;-;2
"510726 Santo Afonso";-;-;-;1
"510779 Santo Antônio do Leste";-;-;-;2
"510780 Santo Antônio do Leverger";-;-;-;2
"510785 São Félix do Araguaia";-;-;-;9
"510729 São José do Povo";-;-;-;6
"510730 São José do Rio Claro";2;6;22;21
"510735 São José do Xingu";1;2;2;1
"510740 São Pedro da Cipa";-;-;-;4
"510787 Sapezal";-;3;3;10
"510788 Serra Nova Dourada";-;-;-;2
"510790 Sinop";2;1;-;75
"510792 Sorriso";-;2;2;29
"510795 Tangará da Serra";-;-;-;17
"510800 Tapurah";-;-;-;2
"510830 União do Sul";-;-;-;2
"510835 Vale de São Domingos";-;-;-;7
"510840 Várzea Grande";3;5;12;31
"510850 Vera";3;4;4;2
"510550 Vila Bela da Santíssima Trindade";-;2;2;7
"510860 Vila Rica";3;3;3;6
"520005 Abadia de Goiás";-;1;1;2
"520010 Abadiânia";-;-;-;8
"520013 Acreúna";5;-;-;13
"520017 Água Fria de Goiás";-;-;-;2
"520020 Água Limpa";-;2;2;-
"520025 Águas Lindas de Goiás";-;-;-;13
"520030 Alexânia";-;-;-;1
"520055 Alto Horizonte";-;3;3;1
"520060 Alto Paraíso de Goiás";-;-;-;3
"520080 Alvorada do Norte";-;-;-;3
"520085 Americano do Brasil";-;-;-;3
"520090 Amorinópolis";-;1;1;-
"520110 Anápolis";7;8;10;48
"520130 Anicuns";-;-;-;4
"520140 Aparecida de Goiânia";6;28;40;33
"520150 Aporé";-;-;-;2
"520160 Araçu";4;4;4;-
"520170 Aragarças";-;-;-;2
"520215 Araguapaz";-;-;-;6
"520235 Arenópolis";-;-;-;2
"520250 Aruanã";-;-;-;2
"520280 Avelinópolis";-;-;-;4
"520310 Baliza";-;-;-;2
"520330 Bela Vista de Goiás";3;8;6;4
"520340 Bom Jardim de Goiás";-;-;-;3
"520350 Bom Jesus de Goiás";-;-;-;8
"520355 Bonfinópolis";-;-;-;4
"520357 Bonópolis";2;2;2;-
"520360 Brazabrantes";2;6;6;2
"520396 Buritinópolis";-;-;-;1
"520400 Cabeceiras";-;-;-;2
"520410 Cachoeira Alta";4;6;6;3
"520420 Cachoeira de Goiás";-;-;-;2
"520450 Caldas Novas";7;-;-;16
"520455 Caldazinha";-;-;-;3
"520460 Campestre de Goiás";3;-;-;5
"520465 Campinaçu";-;2;1;3
"520470 Campinorte";-;-;-;1
"520490 Campos Belos";1;3;3;3
"520495 Campos Verdes";-;-;-;1
"520505 Castelândia";-;-;-;2
"520510 Catalão";-;2;-;8
"520520 Caturaí";7;5;5;-
"520530 Cavalcante";-;-;-;2
"520540 Ceres";-;-;1;8
"520545 Cezarina";2;-;-;-
"520551 Cocalzinho de Goiás";-;-;-;2
"520552 Colinas do Sul";6;-;-;-
"520580 Corumbá de Goiás";-;-;-;6
"520590 Corumbaíba";-;5;5;3
"520620 Cristalina";2;1;1;-
"520640 Crixás";-;-;-;2
"520650 Cromínia";3;3;3;-
"520690 Davinópolis";-;-;-;2
"520710 Diorama";-;-;-;1
"520830 Divinópolis de Goiás";-;-;-;4
"520735 Edealina";-;-;-;2
"520740 Edéia";-;2;2;-
"520750 Estrela do Norte";-;-;-;2
"520760 Fazenda Nova";-;-;1;-
"520800 Formosa";2;13;3;17
"520810 Formoso";5;6;6;1
"520815 Gameleira de Goiás";-;-;-;3
"520840 Goianápolis";-;-;-;1
"520860 Goianésia";2;3;3;17
"520870 Goiânia";28;39;47;353
"520880 Goianira";8;6;4;14
"520890 Goiás";-;3;3;-
"520910 Goiatuba";-;-;-;1
"520915 Gouvelândia";3;4;4;-
"520920 Guapó";4;4;4;11
"520929 Guaraíta";3;3;3;-
"520940 Guarani de Goiás";-;-;-;2
"520970 Hidrolândia";4;5;5;11
"520980 Hidrolina";-;3;-;14
"520990 Iaciara";-;-;-;2
"521000 Inhumas";-;-;-;2
"521010 Ipameri";-;-;-;9
"521015 Ipiranga de Goiás";-;-;-;2
"521020 Iporá";1;1;1;11
"521040 Itaberaí";-;-;-;13
"521056 Itaguari";-;-;-;12
"521060 Itaguaru";-;-;-;7
"521080 Itajá";-;-;-;9
"521090 Itapaci";-;2;2;3
"521100 Itapirapuã";-;-;-;3
"521130 Itarumã";2;5;5;1
"521140 Itauçu";3;6;6;1
"521150 Itumbiara";-;16;12;5
"521170 Jandaia";-;-;-;5
"521190 Jataí";1;-;-;2
"521200 Jaupaci";-;-;-;1
"521205 Jesúpolis";-;3;3;-
"521210 Joviânia";-;-;-;2
"521225 Lagoa Santa";-;-;-;2
"521250 Luziânia";-;4;4;5
"521280 Mara Rosa";7;8;8;-
"521295 Matrinchã";-;-;-;2
"521300 Maurilândia";1;1;1;-
"521305 Mimoso de Goiás";-;-;-;4
"521308 Minaçu";2;-;-;4
"521310 Mineiros";13;28;28;4
"521340 Moiporá";-;2;2;-
"521370 Montes Claros de Goiás";1;2;3;-
"521375 Montividiu";-;5;4;1
"521377 Montividiu do Norte";-;-;-;1
"521380 Morrinhos";-;-;-;3
"521400 Mozarlândia";-;-;-;3
"521410 Mutunópolis";-;-;-;1
"521450 Nerópolis";-;-;-;1
"521460 Niquelândia";1;-;-;4
"521470 Nova América";-;-;-;1
"521487 Nova Iguaçu de Goiás";-;-;-;1
"521490 Nova Roma";-;-;-;2
"521520 Novo Brasil";-;-;-;2
"521523 Novo Gama";-;1;1;-
"521525 Novo Planalto";-;-;-;1
"521530 Orizona";1;-;-;-
"521540 Ouro Verde de Goiás";-;3;3;-
"521550 Ouvidor";2;-;-;-
"521560 Padre Bernardo";-;-;-;3
"521565 Palestina de Goiás";-;-;-;2
"521570 Palmeiras de Goiás";-;2;3;4
"521580 Palmelo";2;8;4;2
"521600 Panamá";-;3;3;-
"521645 Perolândia";-;4;4;-
"521690 Pilar de Goiás";-;-;1;5
"521720 Piranhas";-;-;3;2
"521730 Pirenópolis";-;-;-;2
"521740 Pires do Rio";2;2;2;-
"521760 Planaltina";-;-;-;3
"521770 Pontalina";-;-;-;3
"521800 Porangatu";-;-;-;2
"521805 Porteirão";-;-;-;2
"521830 Posse";-;-;-;2
"521839 Professor Jamil";-;-;-;2
"521850 Quirinópolis";3;3;3;2
"521860 Rialma";1;-;-;-
"521870 Rianápolis";-;-;-;5
"521878 Rio Quente";-;-;-;1
"521880 Rio Verde";13;14;6;116
"521890 Rubiataba";-;-;-;2
"521900 Sanclerlândia";-;-;-;1
"521910 Santa Bárbara de Goiás";4;3;3;2
"521930 Santa Helena de Goiás";-;-;-;3
"521945 Santa Rita do Novo Destino";-;-;-;1
"521960 Santa Tereza de Goiás";-;-;-;1
"521970 Santa Terezinha de Goiás";-;-;1;-
"521971 Santo Antônio da Barra";-;3;3;-
"521975 Santo Antônio do Descoberto";-;-;-;2
"521980 São Domingos";4;4;4;-
"521990 São Francisco de Goiás";3;3;6;1
"522000 São João d'Aliança";-;-;-;1
"522010 São Luís de Montes Belos";-;-;-;7
"522015 São Luíz do Norte";-;-;-;4
"522020 São Miguel do Araguaia";-;-;-;1
"522026 São Miguel do Passa Quatro";-;-;-;3
"522028 São Patrício";-;-;-;3
"522045 Senador Canedo";-;-;-;7
"522050 Serranópolis";-;-;-;5
"522070 Sítio d'Abadia";-;4;4;2
"522108 Teresina de Goiás";-;-;-;4
"522119 Terezópolis de Goiás";-;-;-;4
"522130 Três Ranchos";-;3;3;5
"522140 Trindade";2;-;-;10
"522145 Trombas";-;-;-;3
"522155 Turvelândia";4;3;3;3
"522157 Uirapuru";-;4;4;-
"522160 Uruaçu";-;-;-;4
"522180 Urutaí";-;2;2;-
"522185 Valparaíso de Goiás";1;-;-;10
"522190 Varjão";3;-;-;-
"522200 Vianópolis";-;-;-;3
"522205 Vicentinópolis";-;-;-;2
"530010 Brasília";16;18;16;140
"Total";4575;6444;8444;29372
